Invoice ID,Branch,City,Customer Type,Gender,Product Line,Unit Price,Quantity,Date,Time,Payment,Rating,Tax,Total
300-68-3511,B,Mandalay,Normal,Male,Electronic accessories,88.28,4,2023-03-17,13:15,Ewallet,6.0,17.66,370.78
448-12-1659,A,Mandalay,Member,Male,Home and lifestyle,75.74,2,2023-03-18,8:15,Credit card,6.2,7.57,159.05
863-68-7546,B,Mandalay,Member,Female,Sports and travel,68.29,5,2023-03-19,14:00,Cash,6.5,17.07,358.52
445-76-9338,A,Naypyitaw,Member,Male,Sports and travel,81.66,2,2023-03-20,9:00,Ewallet,7.8,8.17,171.49
247-80-2843,C,Mandalay,Normal,Male,Health and beauty,77.86,2,2023-03-21,9:00,Cash,7.9,7.79,163.51
588-42-2959,B,Mandalay,Member,Female,Health and beauty,13.23,6,2023-03-22,18:00,Cash,7.1,3.97,83.35
739-48-3385,C,Mandalay,Normal,Female,Fashion accessories,45.53,9,2023-03-23,12:45,Credit card,8.1,20.49,430.26
971-10-2802,B,Yangon,Member,Female,Health and beauty,93.77,4,2023-03-24,14:00,Cash,5.4,18.75,393.83
572-59-6534,C,Yangon,Member,Male,Health and beauty,21.32,6,2023-03-25,15:30,Credit card,5.4,6.4,134.32
397-16-7287,A,Naypyitaw,Member,Male,Health and beauty,76.34,7,2023-03-26,11:30,Cash,5.9,26.72,561.1
445-69-3049,A,Naypyitaw,Member,Male,Fashion accessories,97.71,6,2023-03-27,16:45,Ewallet,7.6,29.31,615.57
996-57-5548,A,Yangon,Member,Female,Home and lifestyle,14.7,8,2023-03-28,17:45,Cash,6.1,5.88,123.48
136-41-8158,B,Naypyitaw,Member,Male,Home and lifestyle,71.4,4,2023-03-29,12:30,Ewallet,6.4,14.28,299.88
108-28-3255,C,Yangon,Normal,Male,Health and beauty,52.13,1,2023-03-30,11:15,Ewallet,7.0,2.61,54.74
230-29-7295,A,Mandalay,Member,Female,Fashion accessories,62.13,7,2023-03-31,8:00,Cash,9.1,21.75,456.66
153-42-2648,C,Mandalay,Normal,Female,Home and lifestyle,17.68,3,2023-04-01,11:00,Ewallet,5.1,2.65,55.69
519-47-5199,C,Naypyitaw,Member,Female,Sports and travel,13.87,6,2023-04-02,13:30,Cash,8.2,4.16,87.38
951-98-1098,A,Yangon,Member,Female,Home and lifestyle,70.02,2,2023-04-03,8:45,Cash,8.3,7.0,147.04
252-27-5973,A,Yangon,Normal,Female,Home and lifestyle,84.1,9,2023-04-04,10:30,Ewallet,9.0,37.84,794.74
437-75-3869,C,Naypyitaw,Member,Male,Fashion accessories,80.38,1,2023-04-05,9:45,Ewallet,9.7,4.02,84.4
262-89-1956,A,Yangon,Normal,Female,Sports and travel,58.94,6,2023-04-06,16:45,Credit card,5.1,17.68,371.32
780-42-6699,A,Mandalay,Normal,Male,Fashion accessories,18.99,6,2023-04-07,19:00,Ewallet,5.8,5.7,119.64
900-23-5911,A,Naypyitaw,Member,Male,Health and beauty,71.92,5,2023-04-08,20:15,Credit card,9.4,17.98,377.58
603-17-2218,B,Naypyitaw,Normal,Female,Food and beverages,31.77,5,2023-04-09,16:00,Ewallet,7.3,7.94,166.79
500-42-5555,C,Yangon,Normal,Female,Home and lifestyle,92.0,1,2023-04-10,15:45,Cash,7.8,4.6,96.6
982-95-4446,C,Naypyitaw,Member,Female,Food and beverages,85.44,5,2023-04-11,18:15,Ewallet,8.3,21.36,448.56
121-39-4436,B,Yangon,Normal,Male,Fashion accessories,73.84,2,2023-04-12,19:00,Cash,8.4,7.38,155.06
662-63-6895,C,Yangon,Member,Female,Fashion accessories,95.4,7,2023-04-13,18:45,Cash,9.7,33.39,701.19
382-36-1225,A,Yangon,Member,Female,Fashion accessories,12.83,3,2023-04-14,17:15,Cash,10.0,1.92,40.41
376-39-8022,C,Yangon,Member,Female,Food and beverages,76.26,4,2023-04-15,10:30,Credit card,8.6,15.25,320.29
580-78-8996,A,Yangon,Member,Female,Fashion accessories,39.72,3,2023-04-16,14:30,Ewallet,6.4,5.96,125.12
915-28-8683,B,Naypyitaw,Normal,Female,Health and beauty,91.55,3,2023-04-17,8:00,Cash,9.4,13.73,288.38
646-73-8679,A,Mandalay,Member,Male,Fashion accessories,34.0,4,2023-04-18,17:00,Cash,5.2,6.8,142.8
116-53-3205,C,Mandalay,Member,Male,Electronic accessories,75.24,5,2023-04-19,12:00,Credit card,6.2,18.81,395.01
576-55-4444,C,Naypyitaw,Normal,Male,Food and beverages,88.99,1,2023-04-20,15:30,Ewallet,9.5,4.45,93.44
617-46-3327,C,Naypyitaw,Member,Female,Electronic accessories,13.75,4,2023-04-21,15:15,Ewallet,6.3,2.75,57.75
448-55-1606,B,Mandalay,Member,Female,Fashion accessories,45.79,8,2023-04-22,13:15,Credit card,6.1,18.32,384.64
198-69-6088,B,Mandalay,Normal,Female,Health and beauty,78.61,7,2023-04-23,13:00,Credit card,5.7,27.51,577.78
215-72-1980,C,Mandalay,Normal,Male,Home and lifestyle,50.94,9,2023-04-24,20:45,Ewallet,9.3,22.92,481.38
260-76-9319,A,Mandalay,Normal,Female,Sports and travel,34.05,5,2023-04-25,10:15,Credit card,7.5,8.51,178.76
117-34-6854,B,Mandalay,Normal,Female,Sports and travel,29.78,4,2023-04-26,15:00,Ewallet,8.4,5.96,125.08
665-67-6442,C,Yangon,Normal,Female,Fashion accessories,21.84,8,2023-04-27,8:30,Ewallet,6.2,8.74,183.46
971-55-4863,C,Naypyitaw,Normal,Male,Health and beauty,87.14,9,2023-04-28,10:30,Cash,8.8,39.21,823.47
725-41-5014,B,Yangon,Normal,Female,Food and beverages,61.78,7,2023-04-29,15:00,Cash,8.8,21.62,454.08
953-32-4009,B,Mandalay,Member,Male,Electronic accessories,16.87,7,2023-04-30,12:30,Ewallet,6.6,5.9,123.99
738-36-2409,B,Mandalay,Normal,Female,Electronic accessories,44.43,5,2023-05-01,9:30,Ewallet,7.1,11.11,233.26
884-42-8560,A,Mandalay,Normal,Male,Electronic accessories,43.1,4,2023-05-02,15:30,Ewallet,6.0,8.62,181.02
910-57-8206,A,Yangon,Normal,Male,Food and beverages,26.36,1,2023-05-03,14:45,Ewallet,9.9,1.32,27.68
576-51-3806,C,Yangon,Member,Male,Sports and travel,49.2,7,2023-05-04,18:00,Ewallet,8.2,17.22,361.62
637-59-9716,B,Mandalay,Member,Female,Health and beauty,39.89,1,2023-05-05,13:30,Ewallet,9.7,1.99,41.88
927-16-8992,A,Yangon,Normal,Female,Food and beverages,40.76,1,2023-05-06,15:15,Credit card,6.5,2.04,42.8
135-54-3368,B,Yangon,Normal,Male,Electronic accessories,76.51,5,2023-05-07,19:15,Ewallet,8.9,19.13,401.68
875-25-7002,C,Mandalay,Normal,Male,Fashion accessories,30.09,9,2023-05-08,13:30,Credit card,8.8,13.54,284.35
570-24-6919,A,Yangon,Member,Female,Home and lifestyle,67.77,6,2023-05-09,12:30,Credit card,8.5,20.33,426.95
826-72-1853,A,Naypyitaw,Member,Female,Food and beverages,61.36,3,2023-05-10,11:45,Ewallet,9.8,9.2,193.28
150-34-4769,A,Naypyitaw,Normal,Male,Food and beverages,61.13,3,2023-05-11,13:15,Ewallet,7.0,9.17,192.56
674-71-2148,C,Naypyitaw,Member,Female,Health and beauty,69.67,7,2023-05-12,8:30,Credit card,5.7,24.38,512.07
249-67-8509,B,Naypyitaw,Normal,Female,Health and beauty,59.35,6,2023-05-13,11:15,Credit card,8.4,17.81,373.91
404-61-5777,A,Mandalay,Member,Female,Food and beverages,89.13,9,2023-05-14,20:45,Ewallet,8.6,40.11,842.28
937-24-3491,C,Mandalay,Member,Female,Electronic accessories,70.8,6,2023-05-15,17:45,Ewallet,7.9,21.24,446.04
712-17-4124,B,Mandalay,Normal,Male,Home and lifestyle,59.23,5,2023-05-16,8:00,Credit card,6.0,14.81,310.96
671-14-6222,C,Naypyitaw,Normal,Female,Health and beauty,84.68,7,2023-05-17,11:30,Credit card,7.5,29.64,622.4
295-15-1876,B,Naypyitaw,Normal,Female,Electronic accessories,64.55,1,2023-05-18,19:15,Credit card,6.6,3.23,67.78
983-56-7966,C,Yangon,Normal,Male,Fashion accessories,36.2,7,2023-05-19,10:15,Cash,7.1,12.67,266.07
919-25-5465,B,Yangon,Member,Male,Health and beauty,28.64,3,2023-05-20,19:30,Credit card,8.2,4.3,90.22
735-39-5752,A,Naypyitaw,Member,Female,Electronic accessories,23.71,9,2023-05-21,15:45,Cash,8.7,10.67,224.06
219-72-6177,B,Naypyitaw,Member,Female,Electronic accessories,90.95,6,2023-05-22,18:45,Ewallet,6.2,27.29,572.99
445-71-3838,C,Naypyitaw,Normal,Female,Home and lifestyle,73.91,9,2023-05-23,8:15,Ewallet,7.0,33.26,698.45
226-18-2931,C,Naypyitaw,Member,Female,Home and lifestyle,94.36,5,2023-05-24,9:45,Credit card,6.3,23.59,495.39
740-67-1512,B,Yangon,Normal,Male,Fashion accessories,64.3,7,2023-05-25,15:00,Ewallet,6.0,22.5,472.6
850-43-8805,A,Naypyitaw,Member,Male,Electronic accessories,52.61,4,2023-05-26,19:45,Ewallet,8.9,10.52,220.96
217-57-4672,A,Yangon,Normal,Male,Sports and travel,15.37,7,2023-05-27,15:45,Ewallet,9.5,5.38,112.97
587-10-4343,B,Naypyitaw,Normal,Female,Electronic accessories,70.45,1,2023-05-28,9:45,Ewallet,6.9,3.52,73.97
288-73-1580,B,Naypyitaw,Member,Female,Home and lifestyle,62.4,7,2023-05-29,13:45,Cash,8.8,21.84,458.64
889-76-4147,C,Naypyitaw,Normal,Female,Sports and travel,99.12,8,2023-05-30,18:00,Cash,9.5,39.65,832.61
253-25-4506,A,Yangon,Normal,Female,Health and beauty,31.52,5,2023-05-31,15:45,Credit card,9.2,7.88,165.48
185-66-6188,B,Yangon,Member,Male,Health and beauty,57.77,2,2023-06-01,15:30,Credit card,5.9,5.78,121.32
146-71-7617,A,Mandalay,Normal,Male,Food and beverages,68.59,5,2023-06-02,20:00,Credit card,9.8,17.15,360.1
531-94-8421,B,Naypyitaw,Normal,Female,Home and lifestyle,68.01,6,2023-06-03,9:30,Ewallet,6.9,20.4,428.46
833-32-6881,B,Mandalay,Normal,Male,Food and beverages,60.52,2,2023-06-04,17:45,Ewallet,6.7,6.05,127.09
621-78-3849,A,Mandalay,Member,Female,Sports and travel,79.92,6,2023-06-05,13:15,Cash,5.3,23.98,503.5
279-19-7905,B,Yangon,Member,Female,Home and lifestyle,28.45,6,2023-06-06,16:15,Cash,7.4,8.54,179.24
758-67-5611,B,Yangon,Normal,Male,Fashion accessories,75.31,1,2023-06-07,11:45,Credit card,5.5,3.77,79.08
115-33-9527,C,Mandalay,Member,Female,Electronic accessories,65.78,1,2023-06-08,15:15,Cash,6.2,3.29,69.07
858-11-7303,B,Naypyitaw,Normal,Female,Fashion accessories,90.65,3,2023-06-09,10:30,Cash,6.6,13.6,285.55
574-93-2687,B,Yangon,Normal,Male,Sports and travel,86.25,3,2023-06-10,15:00,Cash,9.0,12.94,271.69
789-44-3427,B,Naypyitaw,Normal,Female,Home and lifestyle,38.36,4,2023-06-11,10:15,Cash,9.4,7.67,161.11
644-42-6052,C,Naypyitaw,Normal,Female,Sports and travel,34.86,2,2023-06-12,18:45,Cash,6.5,3.49,73.21
790-52-6732,A,Mandalay,Normal,Male,Electronic accessories,98.35,9,2023-06-13,8:30,Credit card,9.3,44.26,929.41
367-76-6536,C,Mandalay,Member,Female,Health and beauty,57.45,7,2023-06-14,10:45,Credit card,9.3,20.11,422.26
267-83-2066,C,Mandalay,Normal,Male,Health and beauty,91.58,7,2023-06-15,16:00,Cash,8.8,32.05,673.11
655-38-5107,A,Mandalay,Member,Female,Sports and travel,24.75,6,2023-06-16,19:15,Credit card,5.7,7.43,155.93
706-55-9945,C,Yangon,Member,Male,Food and beverages,67.85,3,2023-06-17,9:30,Ewallet,8.5,10.18,213.73
134-96-9967,A,Yangon,Normal,Male,Home and lifestyle,82.89,6,2023-06-18,9:45,Cash,9.7,24.87,522.21
704-35-1417,C,Mandalay,Normal,Male,Home and lifestyle,95.27,8,2023-06-19,19:30,Ewallet,8.4,38.11,800.27
214-16-4267,A,Yangon,Member,Female,Health and beauty,40.36,8,2023-06-20,11:30,Credit card,6.7,16.14,339.02
925-84-1412,B,Mandalay,Member,Male,Fashion accessories,75.25,9,2023-06-21,14:45,Credit card,7.5,33.86,711.11
475-45-1728,C,Naypyitaw,Member,Male,Electronic accessories,58.49,1,2023-06-22,8:15,Ewallet,8.2,2.92,61.41
376-45-6988,C,Naypyitaw,Normal,Male,Fashion accessories,15.46,1,2023-06-23,16:15,Credit card,7.6,0.77,16.23
556-33-3786,C,Naypyitaw,Member,Male,Fashion accessories,72.1,3,2023-06-24,10:15,Cash,5.6,10.82,227.12
788-45-6073,C,Mandalay,Normal,Male,Sports and travel,72.11,3,2023-06-25,12:00,Ewallet,6.6,10.82,227.15
195-33-7806,B,Naypyitaw,Normal,Female,Health and beauty,93.75,8,2023-06-26,11:00,Cash,9.0,37.5,787.5
289-46-4440,C,Yangon,Normal,Female,Health and beauty,54.76,1,2023-06-27,11:15,Ewallet,9.3,2.74,57.5
794-22-3914,B,Naypyitaw,Member,Female,Health and beauty,30.72,2,2023-06-28,12:15,Credit card,5.7,3.07,64.51
972-39-9787,B,Naypyitaw,Normal,Female,Sports and travel,14.01,2,2023-06-29,20:00,Ewallet,9.8,1.4,29.42
979-98-2365,B,Naypyitaw,Normal,Female,Food and beverages,47.41,3,2023-06-30,11:15,Ewallet,6.6,7.11,149.34
496-68-8186,B,Yangon,Normal,Female,Fashion accessories,37.17,6,2023-07-01,20:30,Cash,8.3,11.15,234.17
276-21-8400,A,Mandalay,Normal,Female,Sports and travel,78.5,1,2023-07-02,17:15,Credit card,8.8,3.92,82.42
175-18-3502,A,Yangon,Normal,Male,Home and lifestyle,41.88,2,2023-07-03,11:30,Cash,9.1,4.19,87.95
895-87-3782,C,Mandalay,Member,Female,Electronic accessories,95.42,1,2023-07-04,16:00,Credit card,9.7,4.77,100.19
483-61-5946,A,Mandalay,Normal,Male,Food and beverages,96.61,5,2023-07-05,15:00,Cash,6.6,24.15,507.2
605-25-5980,A,Naypyitaw,Normal,Male,Home and lifestyle,65.88,7,2023-07-06,17:00,Ewallet,9.3,23.06,484.22
168-21-8192,C,Mandalay,Member,Female,Fashion accessories,93.58,8,2023-07-07,13:00,Cash,5.7,37.43,786.07
990-94-8651,C,Yangon,Normal,Male,Health and beauty,78.48,1,2023-07-08,18:45,Credit card,8.5,3.92,82.4
664-32-2167,C,Yangon,Member,Male,Fashion accessories,59.22,7,2023-07-09,19:30,Credit card,8.7,20.73,435.27
668-48-3156,A,Mandalay,Normal,Male,Sports and travel,26.23,5,2023-07-10,14:45,Ewallet,8.4,6.56,137.71
792-51-6305,A,Naypyitaw,Member,Male,Electronic accessories,51.27,1,2023-07-11,18:15,Credit card,6.3,2.56,53.83
497-14-8330,C,Naypyitaw,Member,Female,Sports and travel,60.48,3,2023-07-12,12:45,Cash,9.4,9.07,190.51
314-84-7801,B,Yangon,Normal,Female,Food and beverages,87.76,7,2023-07-13,10:15,Ewallet,5.8,30.72,645.04
850-85-8241,C,Naypyitaw,Normal,Female,Food and beverages,53.32,1,2023-07-14,15:30,Credit card,5.3,2.67,55.99
591-26-2542,B,Mandalay,Normal,Female,Electronic accessories,90.79,7,2023-07-15,10:45,Credit card,8.6,31.78,667.31
273-22-2191,B,Mandalay,Member,Female,Home and lifestyle,70.69,5,2023-07-16,9:15,Cash,7.4,17.67,371.12
269-18-7938,C,Yangon,Member,Female,Home and lifestyle,22.33,1,2023-07-17,16:45,Cash,9.2,1.12,23.45
733-75-2540,C,Mandalay,Member,Female,Food and beverages,99.55,1,2023-07-18,8:45,Ewallet,6.9,4.98,104.53
128-46-6541,C,Yangon,Normal,Female,Food and beverages,57.45,1,2023-07-19,14:30,Credit card,5.8,2.87,60.32
438-17-2365,A,Mandalay,Member,Female,Health and beauty,45.27,9,2023-07-20,20:45,Cash,9.2,20.37,427.8
599-26-9702,B,Yangon,Member,Female,Home and lifestyle,69.32,3,2023-07-21,12:15,Ewallet,7.7,10.4,218.36
426-98-2324,A,Naypyitaw,Normal,Male,Electronic accessories,19.8,5,2023-07-22,20:00,Credit card,5.9,4.95,103.95
231-45-4141,A,Mandalay,Member,Female,Home and lifestyle,67.29,9,2023-07-23,14:00,Credit card,8.6,30.28,635.89
351-40-2810,C,Mandalay,Member,Male,Health and beauty,54.84,6,2023-07-24,15:30,Ewallet,7.6,16.45,345.49
544-63-5186,A,Yangon,Normal,Male,Sports and travel,46.6,9,2023-07-25,20:15,Ewallet,8.0,20.97,440.37
813-28-5268,C,Yangon,Member,Male,Food and beverages,95.77,8,2023-07-26,20:00,Cash,7.3,38.31,804.47
752-67-7619,B,Mandalay,Normal,Male,Food and beverages,57.03,8,2023-07-27,16:30,Credit card,9.1,22.81,479.05
555-70-4072,C,Yangon,Normal,Female,Health and beauty,29.72,1,2023-07-28,9:00,Credit card,9.1,1.49,31.21
486-86-1504,A,Mandalay,Normal,Male,Electronic accessories,51.31,9,2023-07-29,15:45,Credit card,8.5,23.09,484.88
290-34-1823,A,Naypyitaw,Normal,Female,Food and beverages,92.74,6,2023-07-30,10:15,Ewallet,5.5,27.82,584.26
216-15-3105,C,Yangon,Normal,Female,Fashion accessories,25.85,9,2023-07-31,18:45,Cash,9.2,11.63,244.28
655-54-7316,C,Mandalay,Member,Male,Food and beverages,29.26,3,2023-08-01,19:45,Credit card,8.4,4.39,92.17
928-56-5175,A,Naypyitaw,Member,Female,Fashion accessories,11.17,3,2023-08-02,14:15,Ewallet,8.5,1.68,35.19
985-94-6348,B,Naypyitaw,Normal,Male,Health and beauty,11.28,6,2023-08-03,20:30,Credit card,6.8,3.38,71.06
775-28-7190,B,Mandalay,Normal,Male,Health and beauty,84.65,9,2023-08-04,15:30,Cash,9.4,38.09,799.94
332-58-6645,C,Yangon,Member,Female,Food and beverages,75.89,7,2023-08-05,20:00,Credit card,8.6,26.56,557.79
242-40-4584,B,Mandalay,Normal,Female,Home and lifestyle,41.95,3,2023-08-06,13:45,Cash,5.6,6.29,132.14
